"CheckpointId (S)","GlobalStep (N)","ModelId (S)","Performance (N)","SessionId (S)"
"cifg@0.0.1-14","14","cifg@0.0.1","4.56571387881","cifg@0.0.1"
"cifg@0.0.1-0","0","cifg@0.0.1","5.35973400298","cifg@0.0.1"
"cifg@0.0.1-11","11","cifg@0.0.1","4.59295570841","cifg@0.0.1"
"cifg@0.0.1-27","27","cifg@0.0.1","4.54497026301","cifg@0.0.1"
"cifg@0.0.1-3","3","cifg@0.0.1","4.81261358352","cifg@0.0.1"
"cifg@0.0.1-17","17","cifg@0.0.1","4.55408622067","cifg@0.0.1"
"cifg@0.0.1-2","2","cifg@0.0.1","4.90735231153","cifg@0.0.1"
"cifg@0.0.1-35","35","cifg@0.0.1","4.55179084622","cifg@0.0.1"
"cifg@0.0.1-7","7","cifg@0.0.1","4.64509129946","cifg@0.0.1"
"cifg@0.0.1-39","39","cifg@0.0.1","4.54742722284","cifg@0.0.1"
"cifg@0.0.1-4","4","cifg@0.0.1","4.75222915338","cifg@0.0.1"
"cifg@0.0.1-8","8","cifg@0.0.1","4.62649529074","cifg@0.0.1"
"cifg@0.0.1-24","24","cifg@0.0.1","4.54727769086","cifg@0.0.1"
"cifg@0.0.1-36","36","cifg@0.0.1","4.54584719288","cifg@0.0.1"
"cifg@0.0.1-16","16","cifg@0.0.1","4.56260580673","cifg@0.0.1"
"cifg@0.0.1-34","34","cifg@0.0.1","4.54168040996","cifg@0.0.1"
"cifg@0.0.1-12","12","cifg@0.0.1","4.59481569459","cifg@0.0.1"
"cifg@0.0.1-37","37","cifg@0.0.1","4.54339334293","cifg@0.0.1"
"cifg@0.0.1-38","38","cifg@0.0.1","4.54453285269","cifg@0.0.1"
"cifg@0.0.1-23","23","cifg@0.0.1","4.54897202265","cifg@0.0.1"
"cifg@0.0.1-28","28","cifg@0.0.1","4.54159441682","cifg@0.0.1"
"cifg@0.0.1-5","5","cifg@0.0.1","4.70623467478","cifg@0.0.1"
"cifg@0.0.1-19","19","cifg@0.0.1","4.55321266641","cifg@0.0.1"
"cifg@0.0.1-26","26","cifg@0.0.1","4.54528385085","cifg@0.0.1"
"cifg@0.0.1-33","33","cifg@0.0.1","4.54197307561","cifg@0.0.1"
"cifg@0.0.1-30","30","cifg@0.0.1","4.54992367284","cifg@0.0.1"
"cifg@0.0.1-25","25","cifg@0.0.1","4.54612050582","cifg@0.0.1"
"cifg@0.0.1-9","9","cifg@0.0.1","4.6119695173","cifg@0.0.1"
"cifg@0.0.1-13","13","cifg@0.0.1","4.5792891771","cifg@0.0.1"
"cifg@0.0.1-1","1","cifg@0.0.1","5.0519930968","cifg@0.0.1"
"cifg@0.0.1-32","32","cifg@0.0.1","4.54441199478","cifg@0.0.1"
"cifg@0.0.1-29","29","cifg@0.0.1","4.54200395857","cifg@0.0.1"
"cifg@0.0.1-15","15","cifg@0.0.1","4.57298601008","cifg@0.0.1"
"cifg@0.0.1-21","21","cifg@0.0.1","4.54161292251","cifg@0.0.1"
"cifg@0.0.1-20","20","cifg@0.0.1","4.55281201421","cifg@0.0.1"
"cifg@0.0.1-10","10","cifg@0.0.1","4.6006144787","cifg@0.0.1"
"cifg@0.0.1-6","6","cifg@0.0.1","4.66987341226","cifg@0.0.1"
"cifg@0.0.1-22","22","cifg@0.0.1","4.55058253282","cifg@0.0.1"
"cifg@0.0.1-31","31","cifg@0.0.1","4.54762794962","cifg@0.0.1"
"cifg@0.0.1-18","18","cifg@0.0.1","4.55826695864","cifg@0.0.1"
