"CheckpointId (S)","GlobalStep (N)","ModelId (S)","Performance (N)","SessionId (S)"
"fgr@0.0.1-9","9","fgr@0.0.1","5.57419463489","fgr@0.0.1"
"fgr@0.0.1-26","26","fgr@0.0.1","5.10573539059","fgr@0.0.1"
"fgr@0.0.1-15","15","fgr@0.0.1","5.24929324195","fgr@0.0.1"
"fgr@0.0.1-32","32","fgr@0.0.1","5.06292984943","fgr@0.0.1"
"fgr@0.0.1-25","25","fgr@0.0.1","5.11771704849","fgr@0.0.1"
"fgr@0.0.1-29","29","fgr@0.0.1","5.08112738992","fgr@0.0.1"
"fgr@0.0.1-19","19","fgr@0.0.1","5.17304012376","fgr@0.0.1"
"fgr@0.0.1-4","4","fgr@0.0.1","7.43091932232","fgr@0.0.1"
"fgr@0.0.1-7","7","fgr@0.0.1","5.92115276726","fgr@0.0.1"
"fgr@0.0.1-34","34","fgr@0.0.1","5.06310319758","fgr@0.0.1"
"fgr@0.0.1-16","16","fgr@0.0.1","5.23218988328","fgr@0.0.1"
"fgr@0.0.1-35","35","fgr@0.0.1","5.04446169483","fgr@0.0.1"
"fgr@0.0.1-14","14","fgr@0.0.1","5.26833354094","fgr@0.0.1"
"fgr@0.0.1-27","27","fgr@0.0.1","5.09842462034","fgr@0.0.1"
"fgr@0.0.1-18","18","fgr@0.0.1","5.20137509716","fgr@0.0.1"
"fgr@0.0.1-13","13","fgr@0.0.1","5.33838695293","fgr@0.0.1"
"fgr@0.0.1-38","38","fgr@0.0.1","5.04695339488","fgr@0.0.1"
"fgr@0.0.1-20","20","fgr@0.0.1","5.15817199707","fgr@0.0.1"
"fgr@0.0.1-37","37","fgr@0.0.1","5.04786122017","fgr@0.0.1"
"fgr@0.0.1-8","8","fgr@0.0.1","5.68872257985","fgr@0.0.1"
"fgr@0.0.1-0","0","fgr@0.0.1","6.8848703605","fgr@0.0.1"
"fgr@0.0.1-33","33","fgr@0.0.1","5.05569784774","fgr@0.0.1"
"fgr@0.0.1-23","23","fgr@0.0.1","5.13172213807","fgr@0.0.1"
"fgr@0.0.1-11","11","fgr@0.0.1","5.38992589003","fgr@0.0.1"
"fgr@0.0.1-5","5","fgr@0.0.1","6.69804911296","fgr@0.0.1"
"fgr@0.0.1-30","30","fgr@0.0.1","5.07568364773","fgr@0.0.1"
"fgr@0.0.1-31","31","fgr@0.0.1","5.10411486567","fgr@0.0.1"
"fgr@0.0.1-28","28","fgr@0.0.1","5.08672402726","fgr@0.0.1"
"fgr@0.0.1-36","36","fgr@0.0.1","5.04566630461","fgr@0.0.1"
"fgr@0.0.1-2","2","fgr@0.0.1","6.77391976908","fgr@0.0.1"
"fgr@0.0.1-17","17","fgr@0.0.1","5.20267718464","fgr@0.0.1"
"fgr@0.0.1-22","22","fgr@0.0.1","5.14186635128","fgr@0.0.1"
"fgr@0.0.1-12","12","fgr@0.0.1","5.3474358342","fgr@0.0.1"
"fgr@0.0.1-21","21","fgr@0.0.1","5.14458252368","fgr@0.0.1"
"fgr@0.0.1-39","39","fgr@0.0.1","5.15934032207","fgr@0.0.1"
"fgr@0.0.1-10","10","fgr@0.0.1","5.45000143246","fgr@0.0.1"
"fgr@0.0.1-6","6","fgr@0.0.1","6.3777493473","fgr@0.0.1"
"fgr@0.0.1-3","3","fgr@0.0.1","6.645218182","fgr@0.0.1"
"fgr@0.0.1-1","1","fgr@0.0.1","6.82028494283","fgr@0.0.1"
"fgr@0.0.1-24","24","fgr@0.0.1","5.11634295613","fgr@0.0.1"
