"CheckpointId (S)","GlobalStep (N)","ModelId (S)","Performance (N)","SessionId (S)"
"nfg@0.0.1-33","33","nfg@0.0.1","6.73697249017","nfg@0.0.1"
"nfg@0.0.1-2","2","nfg@0.0.1","10.7772650271","nfg@0.0.1"
"nfg@0.0.1-15","15","nfg@0.0.1","7.05052340345","nfg@0.0.1"
"nfg@0.0.1-37","37","nfg@0.0.1","6.57318869247","nfg@0.0.1"
"nfg@0.0.1-7","7","nfg@0.0.1","7.58502580085","nfg@0.0.1"
"nfg@0.0.1-30","30","nfg@0.0.1","6.9465462115","nfg@0.0.1"
"nfg@0.0.1-36","36","nfg@0.0.1","6.55495053246","nfg@0.0.1"
"nfg@0.0.1-12","12","nfg@0.0.1","7.27562576398","nfg@0.0.1"
"nfg@0.0.1-31","31","nfg@0.0.1","6.65674984056","nfg@0.0.1"
"nfg@0.0.1-26","26","nfg@0.0.1","6.5590266678","nfg@0.0.1"
"nfg@0.0.1-14","14","nfg@0.0.1","6.92289278407","nfg@0.0.1"
"nfg@0.0.1-20","20","nfg@0.0.1","6.96981757547","nfg@0.0.1"
"nfg@0.0.1-10","10","nfg@0.0.1","7.34191184115","nfg@0.0.1"
"nfg@0.0.1-22","22","nfg@0.0.1","6.6930575001","nfg@0.0.1"
"nfg@0.0.1-27","27","nfg@0.0.1","6.83511791826","nfg@0.0.1"
"nfg@0.0.1-1","1","nfg@0.0.1","9.60636258703","nfg@0.0.1"
"nfg@0.0.1-34","34","nfg@0.0.1","6.68265999515","nfg@0.0.1"
"nfg@0.0.1-25","25","nfg@0.0.1","6.81897217627","nfg@0.0.1"
"nfg@0.0.1-38","38","nfg@0.0.1","6.56490313679","nfg@0.0.1"
"nfg@0.0.1-32","32","nfg@0.0.1","7.29989512333","nfg@0.0.1"
"nfg@0.0.1-35","35","nfg@0.0.1","6.89666105309","nfg@0.0.1"
"nfg@0.0.1-19","19","nfg@0.0.1","7.19394393402","nfg@0.0.1"
"nfg@0.0.1-21","21","nfg@0.0.1","7.78741690084","nfg@0.0.1"
"nfg@0.0.1-24","24","nfg@0.0.1","6.83581714033","nfg@0.0.1"
"nfg@0.0.1-5","5","nfg@0.0.1","8.4004106545","nfg@0.0.1"
"nfg@0.0.1-6","6","nfg@0.0.1","8.76982587957","nfg@0.0.1"
"nfg@0.0.1-9","9","nfg@0.0.1","7.78570335751","nfg@0.0.1"
"nfg@0.0.1-8","8","nfg@0.0.1","7.92139685806","nfg@0.0.1"
"nfg@0.0.1-28","28","nfg@0.0.1","6.80814289534","nfg@0.0.1"
"nfg@0.0.1-18","18","nfg@0.0.1","6.91271603124","nfg@0.0.1"
"nfg@0.0.1-0","0","nfg@0.0.1","8.51652220019","nfg@0.0.1"
"nfg@0.0.1-13","13","nfg@0.0.1","8.22332325215","nfg@0.0.1"
"nfg@0.0.1-3","3","nfg@0.0.1","8.3267098397","nfg@0.0.1"
"nfg@0.0.1-39","39","nfg@0.0.1","6.92131826388","nfg@0.0.1"
"nfg@0.0.1-17","17","nfg@0.0.1","6.65563921662","nfg@0.0.1"
"nfg@0.0.1-29","29","nfg@0.0.1","6.84448328135","nfg@0.0.1"
"nfg@0.0.1-16","16","nfg@0.0.1","6.94809958114","nfg@0.0.1"
"nfg@0.0.1-4","4","nfg@0.0.1","8.486267804","nfg@0.0.1"
"nfg@0.0.1-23","23","nfg@0.0.1","6.88019028437","nfg@0.0.1"
"nfg@0.0.1-11","11","nfg@0.0.1","7.82899129232","nfg@0.0.1"
