"CheckpointId (S)","GlobalStep (N)","ModelId (S)","Performance (N)","SessionId (S)"
"niaf@0.0.1-18","18","niaf@0.0.1","6.09870429837","niaf@0.0.1"
"niaf@0.0.1-34","34","niaf@0.0.1","6.49889642625","niaf@0.0.1"
"niaf@0.0.1-0","0","niaf@0.0.1","5.38259327999","niaf@0.0.1"
"niaf@0.0.1-39","39","niaf@0.0.1","6.46301138742","niaf@0.0.1"
"niaf@0.0.1-29","29","niaf@0.0.1","6.54324906745","niaf@0.0.1"
"niaf@0.0.1-26","26","niaf@0.0.1","6.60043739786","niaf@0.0.1"
"niaf@0.0.1-21","21","niaf@0.0.1","7.80527049785","niaf@0.0.1"
"niaf@0.0.1-3","3","niaf@0.0.1","4.93202389256","niaf@0.0.1"
"niaf@0.0.1-33","33","niaf@0.0.1","6.25475331832","niaf@0.0.1"
"niaf@0.0.1-37","37","niaf@0.0.1","6.38993363361","niaf@0.0.1"
"niaf@0.0.1-5","5","niaf@0.0.1","4.88481721839","niaf@0.0.1"
"niaf@0.0.1-20","20","niaf@0.0.1","6.51050514273","niaf@0.0.1"
"niaf@0.0.1-7","7","niaf@0.0.1","4.926224905","niaf@0.0.1"
"niaf@0.0.1-19","19","niaf@0.0.1","6.6580266296","niaf@0.0.1"
"niaf@0.0.1-6","6","niaf@0.0.1","4.93154007477","niaf@0.0.1"
"niaf@0.0.1-17","17","niaf@0.0.1","6.44447528865","niaf@0.0.1"
"niaf@0.0.1-22","22","niaf@0.0.1","6.67975375013","niaf@0.0.1"
"niaf@0.0.1-23","23","niaf@0.0.1","6.74290647338","niaf@0.0.1"
"niaf@0.0.1-35","35","niaf@0.0.1","6.33469659714","niaf@0.0.1"
"niaf@0.0.1-10","10","niaf@0.0.1","5.1298927276","niaf@0.0.1"
"niaf@0.0.1-25","25","niaf@0.0.1","6.64688618147","niaf@0.0.1"
"niaf@0.0.1-30","30","niaf@0.0.1","6.40274289501","niaf@0.0.1"
"niaf@0.0.1-8","8","niaf@0.0.1","5.01341147909","niaf@0.0.1"
"niaf@0.0.1-12","12","niaf@0.0.1","5.37862656366","niaf@0.0.1"
"niaf@0.0.1-31","31","niaf@0.0.1","6.32741337575","niaf@0.0.1"
"niaf@0.0.1-1","1","niaf@0.0.1","5.12564350985","niaf@0.0.1"
"niaf@0.0.1-11","11","niaf@0.0.1","5.24035681485","niaf@0.0.1"
"niaf@0.0.1-24","24","niaf@0.0.1","6.81309428312","niaf@0.0.1"
"niaf@0.0.1-27","27","niaf@0.0.1","6.7691514494","niaf@0.0.1"
"niaf@0.0.1-9","9","niaf@0.0.1","5.06914311623","niaf@0.0.1"
"niaf@0.0.1-38","38","niaf@0.0.1","6.54618267449","niaf@0.0.1"
"niaf@0.0.1-28","28","niaf@0.0.1","6.27318023474","niaf@0.0.1"
"niaf@0.0.1-14","14","niaf@0.0.1","6.14624147584","niaf@0.0.1"
"niaf@0.0.1-16","16","niaf@0.0.1","7.13847035518","niaf@0.0.1"
"niaf@0.0.1-32","32","niaf@0.0.1","6.68451376986","niaf@0.0.1"
"niaf@0.0.1-4","4","niaf@0.0.1","4.90387949003","niaf@0.0.1"
"niaf@0.0.1-2","2","niaf@0.0.1","5.04349403848","niaf@0.0.1"
"niaf@0.0.1-15","15","niaf@0.0.1","6.75808747791","niaf@0.0.1"
"niaf@0.0.1-36","36","niaf@0.0.1","6.34581575355","niaf@0.0.1"
"niaf@0.0.1-13","13","niaf@0.0.1","5.77299887313","niaf@0.0.1"
