"CheckpointId (S)","GlobalStep (N)","ModelId (S)","Performance (N)","SessionId (S)"
"nig@0.0.1-4","4","nig@0.0.1","5.0634400286","nig@0.0.1"
"nig@0.0.1-28","28","nig@0.0.1","5.11901716375","nig@0.0.1"
"nig@0.0.1-24","24","nig@0.0.1","4.96274283273","nig@0.0.1"
"nig@0.0.1-27","27","nig@0.0.1","4.95690269418","nig@0.0.1"
"nig@0.0.1-10","10","nig@0.0.1","4.99553157469","nig@0.0.1"
"nig@0.0.1-20","20","nig@0.0.1","5.00766572083","nig@0.0.1"
"nig@0.0.1-33","33","nig@0.0.1","4.97766051","nig@0.0.1"
"nig@0.0.1-5","5","nig@0.0.1","5.03391128229","nig@0.0.1"
"nig@0.0.1-9","9","nig@0.0.1","4.97509119981","nig@0.0.1"
"nig@0.0.1-11","11","nig@0.0.1","4.95187664836","nig@0.0.1"
"nig@0.0.1-14","14","nig@0.0.1","4.95656396983","nig@0.0.1"
"nig@0.0.1-39","39","nig@0.0.1","5.04389540899","nig@0.0.1"
"nig@0.0.1-2","2","nig@0.0.1","5.17046821854","nig@0.0.1"
"nig@0.0.1-7","7","nig@0.0.1","4.98839857037","nig@0.0.1"
"nig@0.0.1-37","37","nig@0.0.1","4.99414971799","nig@0.0.1"
"nig@0.0.1-31","31","nig@0.0.1","4.95984494579","nig@0.0.1"
"nig@0.0.1-19","19","nig@0.0.1","4.97275236584","nig@0.0.1"
"nig@0.0.1-17","17","nig@0.0.1","4.92884244543","nig@0.0.1"
"nig@0.0.1-25","25","nig@0.0.1","4.99081471969","nig@0.0.1"
"nig@0.0.1-26","26","nig@0.0.1","4.98007538465","nig@0.0.1"
"nig@0.0.1-16","16","nig@0.0.1","4.99646701942","nig@0.0.1"
"nig@0.0.1-8","8","nig@0.0.1","4.96714377475","nig@0.0.1"
"nig@0.0.1-0","0","nig@0.0.1","5.84728838655","nig@0.0.1"
"nig@0.0.1-3","3","nig@0.0.1","5.07785130092","nig@0.0.1"
"nig@0.0.1-35","35","nig@0.0.1","5.0274908987","nig@0.0.1"
"nig@0.0.1-30","30","nig@0.0.1","4.98458433398","nig@0.0.1"
"nig@0.0.1-12","12","nig@0.0.1","4.98306028197","nig@0.0.1"
"nig@0.0.1-22","22","nig@0.0.1","5.02418405546","nig@0.0.1"
"nig@0.0.1-38","38","nig@0.0.1","5.03905231087","nig@0.0.1"
"nig@0.0.1-34","34","nig@0.0.1","4.96260324491","nig@0.0.1"
"nig@0.0.1-29","29","nig@0.0.1","4.99007783436","nig@0.0.1"
"nig@0.0.1-15","15","nig@0.0.1","4.96798115218","nig@0.0.1"
"nig@0.0.1-18","18","nig@0.0.1","4.96754955889","nig@0.0.1"
"nig@0.0.1-21","21","nig@0.0.1","4.95532925353","nig@0.0.1"
"nig@0.0.1-36","36","nig@0.0.1","5.00145846205","nig@0.0.1"
"nig@0.0.1-32","32","nig@0.0.1","4.94433695475","nig@0.0.1"
"nig@0.0.1-6","6","nig@0.0.1","4.99505435035","nig@0.0.1"
"nig@0.0.1-1","1","nig@0.0.1","5.31560859109","nig@0.0.1"
"nig@0.0.1-13","13","nig@0.0.1","4.93833229117","nig@0.0.1"
"nig@0.0.1-23","23","nig@0.0.1","5.03039055857","nig@0.0.1"
