"CheckpointId (S)","GlobalStep (N)","ModelId (S)","Performance (N)","SessionId (S)"
"noaf@0.0.1-37","37","noaf@0.0.1","4290.20021817","noaf@0.0.1"
"noaf@0.0.1-10","10","noaf@0.0.1","279.870795766","noaf@0.0.1"
"noaf@0.0.1-27","27","noaf@0.0.1","4118.30538312","noaf@0.0.1"
"noaf@0.0.1-8","8","noaf@0.0.1","1898.05338575","noaf@0.0.1"
"noaf@0.0.1-29","29","noaf@0.0.1","9.43916148491","noaf@0.0.1"
"noaf@0.0.1-33","33","noaf@0.0.1","9.61957276221","noaf@0.0.1"
"noaf@0.0.1-39","39","noaf@0.0.1","6.65304548406","noaf@0.0.1"
"noaf@0.0.1-2","2","noaf@0.0.1","550.44563768","noaf@0.0.1"
"noaf@0.0.1-11","11","noaf@0.0.1","7.83392040019","noaf@0.0.1"
"noaf@0.0.1-32","32","noaf@0.0.1","7.7068826813","noaf@0.0.1"
"noaf@0.0.1-13","13","noaf@0.0.1","4211.0994596","noaf@0.0.1"
"noaf@0.0.1-3","3","noaf@0.0.1","554.386627978","noaf@0.0.1"
"noaf@0.0.1-36","36","noaf@0.0.1","6.9200514024","noaf@0.0.1"
"noaf@0.0.1-24","24","noaf@0.0.1","7.64599560381","noaf@0.0.1"
"noaf@0.0.1-34","34","noaf@0.0.1","9.98013323933","noaf@0.0.1"
"noaf@0.0.1-22","22","noaf@0.0.1","3322.59726184","noaf@0.0.1"
"noaf@0.0.1-26","26","noaf@0.0.1","3692.11154064","noaf@0.0.1"
"noaf@0.0.1-9","9","noaf@0.0.1","1898.75770974","noaf@0.0.1"
"noaf@0.0.1-20","20","noaf@0.0.1","4369.45756271","noaf@0.0.1"
"noaf@0.0.1-30","30","noaf@0.0.1","8.33805747934","noaf@0.0.1"
"noaf@0.0.1-0","0","noaf@0.0.1","529.017566043","noaf@0.0.1"
"noaf@0.0.1-17","17","noaf@0.0.1","7.15123054349","noaf@0.0.1"
"noaf@0.0.1-6","6","noaf@0.0.1","3264.55570143","noaf@0.0.1"
"noaf@0.0.1-18","18","noaf@0.0.1","3883.66015867","noaf@0.0.1"
"noaf@0.0.1-38","38","noaf@0.0.1","6.7566742317","noaf@0.0.1"
"noaf@0.0.1-19","19","noaf@0.0.1","4766.62075182","noaf@0.0.1"
"noaf@0.0.1-5","5","noaf@0.0.1","938.562468644","noaf@0.0.1"
"noaf@0.0.1-31","31","noaf@0.0.1","11.09778929","noaf@0.0.1"
"noaf@0.0.1-14","14","noaf@0.0.1","652.125144325","noaf@0.0.1"
"noaf@0.0.1-1","1","noaf@0.0.1","425.874478776","noaf@0.0.1"
"noaf@0.0.1-16","16","noaf@0.0.1","4546.26859365","noaf@0.0.1"
"noaf@0.0.1-4","4","noaf@0.0.1","932.856996722","noaf@0.0.1"
"noaf@0.0.1-7","7","noaf@0.0.1","2044.94882338","noaf@0.0.1"
"noaf@0.0.1-35","35","noaf@0.0.1","7.59317197631","noaf@0.0.1"
"noaf@0.0.1-28","28","noaf@0.0.1","13.8777147939","noaf@0.0.1"
"noaf@0.0.1-12","12","noaf@0.0.1","3771.35240264","noaf@0.0.1"
"noaf@0.0.1-25","25","noaf@0.0.1","9.08382430511","noaf@0.0.1"
"noaf@0.0.1-21","21","noaf@0.0.1","7.49697055946","noaf@0.0.1"
"noaf@0.0.1-15","15","noaf@0.0.1","8.64484022906","noaf@0.0.1"
"noaf@0.0.1-23","23","noaf@0.0.1","7.01312223473","noaf@0.0.1"
