"CheckpointId (S)","GlobalStep (N)","ModelId (S)","Performance (N)","SessionId (S)"
"nog@0.0.1-37","37","nog@0.0.1","7.412956298","nog@0.0.1"
"nog@0.0.1-34","34","nog@0.0.1","6.99996446674","nog@0.0.1"
"nog@0.0.1-30","30","nog@0.0.1","7.133992567","nog@0.0.1"
"nog@0.0.1-25","25","nog@0.0.1","7.16936312513","nog@0.0.1"
"nog@0.0.1-17","17","nog@0.0.1","7.19486801044","nog@0.0.1"
"nog@0.0.1-11","11","nog@0.0.1","6.80988537432","nog@0.0.1"
"nog@0.0.1-0","0","nog@0.0.1","7.3894141663","nog@0.0.1"
"nog@0.0.1-36","36","nog@0.0.1","7.53731693605","nog@0.0.1"
"nog@0.0.1-23","23","nog@0.0.1","6.96933742393","nog@0.0.1"
"nog@0.0.1-5","5","nog@0.0.1","6.78902139054","nog@0.0.1"
"nog@0.0.1-6","6","nog@0.0.1","6.86653206961","nog@0.0.1"
"nog@0.0.1-13","13","nog@0.0.1","6.80426534017","nog@0.0.1"
"nog@0.0.1-20","20","nog@0.0.1","7.29606951032","nog@0.0.1"
"nog@0.0.1-39","39","nog@0.0.1","7.86915457589","nog@0.0.1"
"nog@0.0.1-1","1","nog@0.0.1","7.18026752083","nog@0.0.1"
"nog@0.0.1-27","27","nog@0.0.1","6.99274124665","nog@0.0.1"
"nog@0.0.1-12","12","nog@0.0.1","6.88194942137","nog@0.0.1"
"nog@0.0.1-29","29","nog@0.0.1","6.84864648936","nog@0.0.1"
"nog@0.0.1-22","22","nog@0.0.1","6.90418495645","nog@0.0.1"
"nog@0.0.1-21","21","nog@0.0.1","6.90020912638","nog@0.0.1"
"nog@0.0.1-14","14","nog@0.0.1","6.99287436972","nog@0.0.1"
"nog@0.0.1-8","8","nog@0.0.1","7.18486089382","nog@0.0.1"
"nog@0.0.1-38","38","nog@0.0.1","6.99698644106","nog@0.0.1"
"nog@0.0.1-15","15","nog@0.0.1","6.9204078311","nog@0.0.1"
"nog@0.0.1-4","4","nog@0.0.1","6.84255480293","nog@0.0.1"
"nog@0.0.1-24","24","nog@0.0.1","6.88128912893","nog@0.0.1"
"nog@0.0.1-7","7","nog@0.0.1","6.91971702109","nog@0.0.1"
"nog@0.0.1-33","33","nog@0.0.1","6.8841088452","nog@0.0.1"
"nog@0.0.1-26","26","nog@0.0.1","7.01705987424","nog@0.0.1"
"nog@0.0.1-28","28","nog@0.0.1","7.25507385669","nog@0.0.1"
"nog@0.0.1-10","10","nog@0.0.1","6.86224379351","nog@0.0.1"
"nog@0.0.1-18","18","nog@0.0.1","7.5729258427","nog@0.0.1"
"nog@0.0.1-9","9","nog@0.0.1","7.38669598015","nog@0.0.1"
"nog@0.0.1-19","19","nog@0.0.1","6.96028349792","nog@0.0.1"
"nog@0.0.1-31","31","nog@0.0.1","7.4201335715","nog@0.0.1"
"nog@0.0.1-16","16","nog@0.0.1","7.48384874824","nog@0.0.1"
"nog@0.0.1-32","32","nog@0.0.1","6.9520984468","nog@0.0.1"
"nog@0.0.1-35","35","nog@0.0.1","7.25752189377","nog@0.0.1"
"nog@0.0.1-3","3","nog@0.0.1","6.83531997369","nog@0.0.1"
"nog@0.0.1-2","2","nog@0.0.1","7.26428808926","nog@0.0.1"
