"CheckpointId (S)","GlobalStep (N)","ModelId (S)","Performance (N)","SessionId (S)"
"nph@0.0.1-33","33","nph@0.0.1","4.53145505736","nph@0.0.1"
"nph@0.0.1-6","6","nph@0.0.1","4.65676885696","nph@0.0.1"
"nph@0.0.1-7","7","nph@0.0.1","4.63731491815","nph@0.0.1"
"nph@0.0.1-8","8","nph@0.0.1","4.60844982744","nph@0.0.1"
"nph@0.0.1-1","1","nph@0.0.1","5.05092327092","nph@0.0.1"
"nph@0.0.1-13","13","nph@0.0.1","4.56014743935","nph@0.0.1"
"nph@0.0.1-34","34","nph@0.0.1","4.53155367274","nph@0.0.1"
"nph@0.0.1-4","4","nph@0.0.1","4.74217485285","nph@0.0.1"
"nph@0.0.1-21","21","nph@0.0.1","4.53244125678","nph@0.0.1"
"nph@0.0.1-25","25","nph@0.0.1","4.53018298921","nph@0.0.1"
"nph@0.0.1-18","18","nph@0.0.1","4.54054730681","nph@0.0.1"
"nph@0.0.1-11","11","nph@0.0.1","4.57620711346","nph@0.0.1"
"nph@0.0.1-38","38","nph@0.0.1","4.53817342953","nph@0.0.1"
"nph@0.0.1-2","2","nph@0.0.1","4.89957033741","nph@0.0.1"
"nph@0.0.1-20","20","nph@0.0.1","4.52846144903","nph@0.0.1"
"nph@0.0.1-3","3","nph@0.0.1","4.80691271724","nph@0.0.1"
"nph@0.0.1-9","9","nph@0.0.1","4.59063655931","nph@0.0.1"
"nph@0.0.1-17","17","nph@0.0.1","4.53789104851","nph@0.0.1"
"nph@0.0.1-16","16","nph@0.0.1","4.54482488308","nph@0.0.1"
"nph@0.0.1-14","14","nph@0.0.1","4.55338537099","nph@0.0.1"
"nph@0.0.1-37","37","nph@0.0.1","4.52955599207","nph@0.0.1"
"nph@0.0.1-22","22","nph@0.0.1","4.53486252558","nph@0.0.1"
"nph@0.0.1-12","12","nph@0.0.1","4.56727293676","nph@0.0.1"
"nph@0.0.1-35","35","nph@0.0.1","4.53245268737","nph@0.0.1"
"nph@0.0.1-31","31","nph@0.0.1","4.53206993882","nph@0.0.1"
"nph@0.0.1-29","29","nph@0.0.1","4.52804873927","nph@0.0.1"
"nph@0.0.1-26","26","nph@0.0.1","4.52728411824","nph@0.0.1"
"nph@0.0.1-19","19","nph@0.0.1","4.53052622685","nph@0.0.1"
"nph@0.0.1-36","36","nph@0.0.1","4.52756872476","nph@0.0.1"
"nph@0.0.1-24","24","nph@0.0.1","4.529532861","nph@0.0.1"
"nph@0.0.1-15","15","nph@0.0.1","4.55088257666","nph@0.0.1"
"nph@0.0.1-10","10","nph@0.0.1","4.58736787757","nph@0.0.1"
"nph@0.0.1-27","27","nph@0.0.1","4.52858718976","nph@0.0.1"
"nph@0.0.1-23","23","nph@0.0.1","4.52951108764","nph@0.0.1"
"nph@0.0.1-32","32","nph@0.0.1","4.53280504292","nph@0.0.1"
"nph@0.0.1-0","0","nph@0.0.1","5.33801592976","nph@0.0.1"
"nph@0.0.1-28","28","nph@0.0.1","4.53878545852","nph@0.0.1"
"nph@0.0.1-5","5","nph@0.0.1","4.70111912319","nph@0.0.1"
"nph@0.0.1-30","30","nph@0.0.1","4.52984692217","nph@0.0.1"
