"SessionId (S)","CompletedEpochs (N)","EndTime (S)","GlobalStep (N)","ModelId (S)","ShouldStop (BOOL)","StartTime (S)","State (S)","TotalEpochs (N)"
"cifg@0.0.1","39","2016-01-24T02:26:55.088454","39","cifg@0.0.1","false","2016-01-23T05:45:42.758995","completed","40"
"vanilla@0.0.1","39","2016-01-24T05:07:10.998134","39","vanilla@0.0.1","false","2016-01-22T22:06:11.263869","completed","40"
"nig@0.0.1","39","2016-01-24T02:49:44.412907","39","nig@0.0.1","false","2016-01-23T05:54:24.204514","completed","40"
"nfg@0.0.1","39","2016-01-24T13:15:16.833713","39","nfg@0.0.1","false","2016-01-23T05:45:42.743418","completed","40"
"nog@0.0.1","39","2016-01-24T02:28:13.992627","39","nog@0.0.1","false","2016-01-23T05:45:43.719520","completed","40"
"highway@0.0.1","2000","2016-01-25T05:26:37.636236","1999","highway@0.0.1","false","2016-01-25T05:24:56.915390","completed","2000"
"nph@0.0.1","0","true","0","nph@0.0.1","false","true","queued","40"
"niaf@0.0.1","39","2016-01-24T17:09:26.359602","39","niaf@0.0.1","false","2016-01-23T14:39:13.485475","completed","40"
"fgr@0.0.1","39","2016-01-24T21:21:04.786900","39","fgr@0.0.1","false","2016-01-23T05:45:44.896618","completed","40"
"noaf@0.0.1","39","2016-01-24T05:20:28.676130","39","noaf@0.0.1","false","2016-01-23T05:46:19.740328","completed","40"
