"CheckpointId (S)","GlobalStep (N)","ModelId (S)","Performance (N)","SessionId (S)"
"vanilla@0.0.1-15","15","vanilla@0.0.1","4.5538766085","vanilla@0.0.1"
"vanilla@0.0.1-10","10","vanilla@0.0.1","4.60219004521","vanilla@0.0.1"
"vanilla@0.0.1-21","21","vanilla@0.0.1","4.5553238351","vanilla@0.0.1"
"vanilla@0.0.1-35","35","vanilla@0.0.1","4.56556541806","vanilla@0.0.1"
"vanilla@0.0.1-6","6","vanilla@0.0.1","4.61753465717","vanilla@0.0.1"
"vanilla@0.0.1-23","23","vanilla@0.0.1","4.55214406954","vanilla@0.0.1"
"vanilla@0.0.1-12","12","vanilla@0.0.1","4.58706867659","vanilla@0.0.1"
"vanilla@0.0.1-1","1","vanilla@0.0.1","5.06126384294","vanilla@0.0.1"
"vanilla@0.0.1-11","11","vanilla@0.0.1","4.59029340056","vanilla@0.0.1"
"vanilla@0.0.1-38","38","vanilla@0.0.1","4.56242011038","vanilla@0.0.1"
"vanilla@0.0.1-22","22","vanilla@0.0.1","4.54922481615","vanilla@0.0.1"
"vanilla@0.0.1-16","16","vanilla@0.0.1","4.54919675658","vanilla@0.0.1"
"vanilla@0.0.1-30","30","vanilla@0.0.1","4.53836640442","vanilla@0.0.1"
"vanilla@0.0.1-34","34","vanilla@0.0.1","4.55237950747","vanilla@0.0.1"
"vanilla@0.0.1-18","18","vanilla@0.0.1","4.55532773388","vanilla@0.0.1"
"vanilla@0.0.1-32","32","vanilla@0.0.1","4.5517229934","vanilla@0.0.1"
"vanilla@0.0.1-39","39","vanilla@0.0.1","4.56770337994","vanilla@0.0.1"
"vanilla@0.0.1-36","36","vanilla@0.0.1","4.54791005245","vanilla@0.0.1"
"vanilla@0.0.1-2","2","vanilla@0.0.1","4.89098669351","vanilla@0.0.1"
"vanilla@0.0.1-31","31","vanilla@0.0.1","4.56443549539","vanilla@0.0.1"
"vanilla@0.0.1-14","14","vanilla@0.0.1","4.56607342986","vanilla@0.0.1"
"vanilla@0.0.1-4","4","vanilla@0.0.1","4.71028458161","vanilla@0.0.1"
"vanilla@0.0.1-26","26","vanilla@0.0.1","4.56121046001","vanilla@0.0.1"
"vanilla@0.0.1-0","0","vanilla@0.0.1","5.39483115683","vanilla@0.0.1"
"vanilla@0.0.1-37","37","vanilla@0.0.1","4.55772523633","vanilla@0.0.1"
"vanilla@0.0.1-19","19","vanilla@0.0.1","4.5450539393","vanilla@0.0.1"
"vanilla@0.0.1-13","13","vanilla@0.0.1","4.56868618297","vanilla@0.0.1"
"vanilla@0.0.1-5","5","vanilla@0.0.1","4.65656550609","vanilla@0.0.1"
"vanilla@0.0.1-33","33","vanilla@0.0.1","4.55278505494","vanilla@0.0.1"
"vanilla@0.0.1-27","27","vanilla@0.0.1","4.5479845444","vanilla@0.0.1"
"vanilla@0.0.1-9","9","vanilla@0.0.1","4.5446551223","vanilla@0.0.1"
"vanilla@0.0.1-3","3","vanilla@0.0.1","4.78097672858","vanilla@0.0.1"
"vanilla@0.0.1-29","29","vanilla@0.0.1","4.55700397933","vanilla@0.0.1"
"vanilla@0.0.1-7","7","vanilla@0.0.1","4.58915808022","vanilla@0.0.1"
"vanilla@0.0.1-20","20","vanilla@0.0.1","4.55254584695","vanilla@0.0.1"
"vanilla@0.0.1-25","25","vanilla@0.0.1","4.55099895867","vanilla@0.0.1"
"vanilla@0.0.1-28","28","vanilla@0.0.1","4.55108744719","vanilla@0.0.1"
"vanilla@0.0.1-17","17","vanilla@0.0.1","4.54722175442","vanilla@0.0.1"
"vanilla@0.0.1-24","24","vanilla@0.0.1","4.54537134287","vanilla@0.0.1"
"vanilla@0.0.1-8","8","vanilla@0.0.1","4.55814789026","vanilla@0.0.1"
